name,edition,page,paragraph
AFTONBLADET 1947-01-25,0,14,14
AFTONBLADET 1947-09-15,0,14,2
AFTONBLADET 1950-09-08,1,10,6
AFTONBLADET 1954-07-15,0,11,39
AFTONBLADET 1958-09-11,1,11,6
AFTONBLADET 1959-11-18,0,2,9
AFTONBLADET 1960-08-01,0,5,42
AFTONBLADET 1964-05-26,0,24,12
AFTONBLADET 1965-09-13,0,9,9
AFTONBLADET 1967-09-25,0,1,16
AFTONBLADET 1970-01-04,0,3,19
AFTONBLADET 1973-09-29,0,15,10
AFTONBLADET 1978-03-02,1,25,10
AFTONBLADET 1978-10-03,1,31,5
AFTONBLADET 1980-10-18,0,32,13
AFTONBLADET 1984-05-05,41,3,13
AFTONBLADET 1987-10-15,0,4,12
AFTONBLADET 1989-08-02,1,1,10
AFTONBLADET 1993-10-30,0,51,19
AFTONBLADET 1994-07-03,1,10,3
AFTONBLADET 1995-10-28,0,13,17
AFTONBLADET 1997-02-08,1,23,3
AFTONBLADET 2004-03-13,0,3,7
AFTONBLADET 2004-12-08,1,1,1
AFTONBLADET 2005-04-25,0,53,6
AFTONBLADET 2007-01-11,1,74,7
AFTONBLADET 2010-03-05,1,35,8
AFTONBLADET 2011-12-06,1,31,9
AFTONBLADET 2016-01-31,0,12,7
AFTONBLADET 2018-03-12,0,7,7
DAGENS NYHETER 1945-12-16,0,28,13
DAGENS NYHETER 1947-10-06,1,11,29
DAGENS NYHETER 1950-12-04,0,10,4
DAGENS NYHETER 1953-05-22,0,2,3
DAGENS NYHETER 1959-02-09,1,17,17
DAGENS NYHETER 1959-07-23,0,7,25
DAGENS NYHETER 1963-04-25,0,12,13
DAGENS NYHETER 1964-11-19,0,17,31
DAGENS NYHETER 1966-12-07,0,11,18
DAGENS NYHETER 1968-12-29,0,1,32
DAGENS NYHETER 1974-02-23,0,14,20
DAGENS NYHETER 1974-07-27,0,16,43
DAGENS NYHETER 1977-09-27,0,1,21
DAGENS NYHETER 1979-11-14,0,104,6
DAGENS NYHETER 1980-01-17,0,129,14
DAGENS NYHETER 1983-12-01,1,32,8
DAGENS NYHETER 1986-05-20,0,13,10
DAGENS NYHETER 1989-07-04,0,3,21
DAGENS NYHETER 1990-04-14,0,88,2
DAGENS NYHETER 1991-06-20,0,23,19
DAGENS NYHETER 1997-02-10,0,28,11
DAGENS NYHETER 1999-02-11,1,9,11
DAGENS NYHETER 2001-01-06,0,64,5
DAGENS NYHETER 2001-04-10,1,4,34
DAGENS NYHETER 2005-05-19,0,60,11
DAGENS NYHETER 2006-07-18,0,30,7
DAGENS NYHETER 2010-01-08,1,111,3
DAGENS NYHETER 2012-05-07,0,36,1
DAGENS NYHETER 2017-07-26,0,32,3
DAGENS NYHETER 2018-10-30,3,31,6
EXPRESSEN 1946-04-30,0,13,9
EXPRESSEN 1949-06-26,0,3,9
EXPRESSEN 1951-11-11,39,13,15
EXPRESSEN 1952-11-12,1,5,4
EXPRESSEN 1956-01-04,0,13,1
EXPRESSEN 1959-07-17,0,8,27
EXPRESSEN 1964-06-29,0,5,9
EXPRESSEN 1964-09-21,0,34,3
EXPRESSEN 1968-02-23,0,20,13
EXPRESSEN 1968-04-21,0,45,5
EXPRESSEN 1970-04-23,0,2,23
EXPRESSEN 1971-01-12,0,14,1
EXPRESSEN 1975-11-19,0,32,21
EXPRESSEN 1978-06-08,1,6,13
EXPRESSEN 1981-12-02,1,7,3
EXPRESSEN 1983-11-07,1,48,3
EXPRESSEN 1987-06-28,0,55,6
EXPRESSEN 1988-08-03,1,53,8
EXPRESSEN 1991-11-25,0,9,13
EXPRESSEN 1994-12-17,0,59,7
EXPRESSEN 1998-11-20,0,18,4
EXPRESSEN 1999-09-03,0,0,8
EXPRESSEN 2001-01-22,0,21,10
EXPRESSEN 2003-04-05,0,3,10
EXPRESSEN 2005-08-18,0,6,2
EXPRESSEN 2006-05-03,1,41,18
EXPRESSEN 2010-01-25,0,52,23
EXPRESSEN 2011-12-07,1,4,18
EXPRESSEN 2016-11-29,3,0,1
EXPRESSEN 2019-05-08,0,48,6
SVENSKA DAGBLADET 1945-03-22,0,13,29
SVENSKA DAGBLADET 1946-11-11,12,14,12
SVENSKA DAGBLADET 1953-04-15,0,14,8
SVENSKA DAGBLADET 1953-07-19,0,13,5
SVENSKA DAGBLADET 1956-04-01,0,9,19
SVENSKA DAGBLADET 1956-07-01,1,12,26
SVENSKA DAGBLADET 1961-09-01,1,4,13
SVENSKA DAGBLADET 1962-12-04,1,17,26
SVENSKA DAGBLADET 1967-09-24,0,12,12
SVENSKA DAGBLADET 1968-02-10,1,19,16
SVENSKA DAGBLADET 1973-07-14,0,13,15
SVENSKA DAGBLADET 1974-05-26,0,17,23
SVENSKA DAGBLADET 1978-08-29,0,3,50
SVENSKA DAGBLADET 1979-08-29,0,10,12
SVENSKA DAGBLADET 1982-04-11,1,19,10
SVENSKA DAGBLADET 1982-12-14,1,24,28
SVENSKA DAGBLADET 1986-02-14,0,10,32
SVENSKA DAGBLADET 1989-02-07,0,18,40
SVENSKA DAGBLADET 1990-04-01,0,15,2
SVENSKA DAGBLADET 1990-05-18,0,5,67
SVENSKA DAGBLADET 1998-07-03,1,8,14
SVENSKA DAGBLADET 1999-10-14,0,3,27
SVENSKA DAGBLADET 2001-01-24,0,20,7
SVENSKA DAGBLADET 2003-04-22,0,35,3
SVENSKA DAGBLADET 2008-12-23,0,57,5
SVENSKA DAGBLADET 2009-08-13,0,35,9
SVENSKA DAGBLADET 2010-05-11,1,3,3
SVENSKA DAGBLADET 2011-12-13,0,9,13
SVENSKA DAGBLADET 2017-01-12,1,30,8
SVENSKA DAGBLADET 2018-04-18,0,52,5
